Date,Open,High,Low,Close,Adj Close,Volume
2017-06-19,525.799988,533.000000,516.250000,517.450012,513.548218,109823
2017-06-20,519.799988,521.000000,500.100006,502.350006,498.562073,128822
2017-06-21,502.000000,533.950012,502.000000,514.400024,510.521240,312749
2017-06-22,516.900024,524.950012,505.000000,507.049988,503.226624,78799
2017-06-23,509.000000,516.000000,500.899994,501.350006,497.569641,112059
2017-06-27,503.000000,508.000000,485.000000,487.399994,483.724823,82301
2017-06-28,486.799988,493.350006,473.100006,484.299988,480.648163,139250
2017-06-29,484.799988,495.700012,474.950012,476.000000,472.410767,101017
2017-06-30,474.649994,477.399994,467.899994,469.549988,466.009399,111567
2017-07-03,470.000000,489.399994,470.000000,482.950012,479.308380,103134
2017-07-04,483.700012,491.399994,476.100006,478.450012,474.842316,54171
2017-07-05,480.000000,485.000000,473.750000,479.899994,476.281342,66152
2017-07-06,482.000000,503.500000,478.000000,490.250000,486.553345,182073
2017-07-07,490.250000,510.950012,483.000000,496.649994,492.905060,208263
2017-07-10,470.000000,499.899994,470.000000,493.600006,489.878052,14210
2017-07-11,494.000000,554.799988,494.000000,532.400024,528.385498,911763
2017-07-12,535.000000,548.900024,525.000000,534.450012,530.420105,244301
2017-07-13,540.950012,546.900024,532.099976,536.900024,532.851563,157662
2017-07-14,534.000000,546.000000,504.399994,512.150024,508.288208,170650
2017-07-17,514.799988,529.000000,511.100006,514.299988,510.421967,62511
2017-07-18,514.299988,517.049988,508.049988,511.100006,507.246094,58706
2017-07-19,514.000000,543.900024,509.549988,536.900024,532.851563,158805
2017-07-20,539.950012,543.049988,527.049988,535.599976,531.561340,75138
2017-07-21,535.049988,554.000000,535.000000,537.349976,533.298157,138497
2017-07-24,539.700012,544.750000,530.099976,537.000000,532.950806,122521
2017-07-25,534.049988,538.000000,520.049988,523.200012,519.254883,63521
2017-07-26,523.549988,536.500000,519.349976,523.200012,519.254883,72752
2017-07-27,524.900024,528.799988,511.250000,513.200012,509.330261,35639
2017-07-28,510.799988,518.900024,502.200012,504.700012,500.894379,46176
2017-07-31,504.700012,509.899994,500.049988,502.649994,498.859802,96572
2017-08-01,503.950012,508.000000,497.000000,499.200012,495.435852,43840
2017-08-02,499.399994,510.799988,496.000000,498.649994,494.889984,36079
2017-08-03,496.000000,501.049988,485.000000,486.799988,483.129333,28809
2017-08-04,489.799988,504.000000,484.750000,499.950012,496.180176,70737
2017-08-07,497.100006,503.000000,492.899994,494.100006,490.374298,53149
2017-08-08,495.750000,498.000000,486.000000,493.200012,489.481079,33637
2017-08-09,488.700012,488.850006,476.100006,478.950012,475.338562,30152
